City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,betio village,1.358,172.9211,28.02,70,91,6.78,KI,1723655904
214,jindabyne,-36.4167,148.6333,6.99,88,46,0.45,AU,1723655905
215,maloye ganyushkino,46.6,49.2667,25.47,24,72,5.48,KZ,1723655907
216,si sa ket,14.8333,104.3333,26.98,79,99,2.92,TH,1723655908
217,gulu,2.7746,32.299,23.09,70,97,1.29,UG,1723655909
218,dudinka,69.4058,86.1778,12.5,69,6,3.34,RU,1723655911
219,selfoss,63.9331,-20.9971,11.69,89,100,5.02,IS,1723655912
220,aketi,2.7388,23.7833,21.87,99,100,1.13,CD,1723655914
221,gonabad,34.3529,58.6837,33.5,19,3,6.82,IR,1723655915
222,acarau,-2.8856,-40.12,31.75,43,10,8.94,BR,1723655917
223,salinopolis,-0.6136,-47.3561,28.78,68,67,6.58,BR,1723655918
224,mutoko,-17.397,32.2268,18.09,26,2,1.77,ZW,1723655919
225,geraldton,-28.7667,114.6,17.23,82,75,4.63,AU,1723655921
226,motygino,58.1831,94.7592,16.39,75,80,1.2,RU,1723655922
227,springbok,-29.6643,17.8865,12.73,46,6,1.6,ZA,1723655924
228,oyotun,-6.8519,-79.3036,28.37,44,21,3.63,PE,1723655925
229,tazovsky,67.4667,78.7,14.39,65,100,8.48,RU,1723655927
230,kutum,14.2,24.6667,22.51,77,98,3.92,SD,1723655928
231,tongouson,5.0214,120.1328,28.16,77,81,3.55,PH,1723655929
232,bulle,46.6195,7.0567,24.27,91,78,1.86,CH,1723655931
233,rongelap,11.1635,166.8941,28.14,79,20,7.88,MH,1723655932
234,lai chau,22.3997,103.4517,18.61,98,100,1.27,VN,1723655934
235,hailar,49.2,119.7,20.24,57,80,2.16,CN,1723655935
236,howrah,22.5892,88.3103,28.0,94,75,0.0,IN,1723655936
237,guozhen,34.3659,107.359,22.29,92,99,3.83,CN,1723655938
238,manokwari,-0.8667,134.0833,24.98,83,77,1.78,ID,1723655939
239,cafayate,-26.073,-65.9761,23.71,6,0,3.29,AR,1723655941
240,mil'kovo,55.6078,37.7956,20.19,49,37,3.29,RU,1723655942
241,recani,31.2846,-4.2688,40.77,8,0,4.23,MA,1723655943
242,nagato,34.3833,131.2,26.14,84,0,0.48,JP,1723655945
243,basco,20.4487,121.9702,29.03,83,94,7.69,PH,1723655946
244,kichmengskiy gorodok,59.9816,45.7854,12.31,84,60,2.6,RU,1723655948
245,ti port-de-paix,19.9333,-72.8333,29.1,76,45,6.53,HT,1723655949
246,ebon,4.582,168.6964,28.68,75,100,5.66,MH,1723655950
247,ha tinh,18.3333,105.9,27.25,84,90,0.78,VN,1723655952
248,mbandaka,0.0487,18.2603,21.44,95,99,1.75,CD,1723655953
249,tambopata,-12.7333,-69.1833,29.94,42,0,1.54,PE,1723655955
250,tolanaro,-25.0319,46.9987,24.04,73,0,8.23,MG,1723655956
251,okhotsk,59.3833,143.3,13.07,92,94,7.68,RU,1723655958
252,ust-nera,64.5667,143.2,2.41,82,57,3.18,RU,1723655959
253,kapa'a,22.0752,-159.319,25.18,84,20,6.17,US,1723655960
254,urengoy,65.9667,78.3667,17.84,52,100,9.83,RU,1723655962
255,goulburn,-34.75,149.7167,9.32,99,100,0.45,AU,1723655403
256,remire-montjoly,4.9167,-52.2667,33.02,55,0,3.6,GF,1723655965
257,ixtapa,20.7,-105.2,32.35,66,40,1.34,MX,1723655966
258,rome,34.257,-85.1647,31.94,54,0,1.54,US,1723655899
259,raymondville,26.4815,-97.7831,35.06,44,88,5.11,US,1723655969
260,punta arenas,-53.15,-70.9167,5.06,87,40,4.12,CL,1723655970
261,dryden,49.7833,-92.7503,26.16,50,20,6.69,CA,1723655972
262,amahai,-3.3333,128.9167,24.77,87,99,4.1,ID,1723655973
263,vadso,70.0744,29.7487,23.49,59,0,4.12,NO,1723655974
264,nelson bay,-32.7167,152.15,16.67,98,51,1.79,AU,1723655976
265,zandvoort,52.3749,4.5341,23.3,77,20,2.68,NL,1723655977
266,namibe,-15.1961,12.1522,18.76,83,62,5.07,AO,1723655979
267,contramaestre,20.2978,-76.2414,34.62,44,6,3.28,CU,1723655980
268,san andres,12.5847,-81.7006,32.01,74,20,5.66,CO,1723655982
269,paragominas,-2.9667,-47.4833,34.54,32,35,2.73,BR,1723655985
270,weatherford,32.7593,-97.7972,36.07,53,0,1.34,US,1723655986
271,wailua homesteads,22.0669,-159.378,24.44,84,20,6.17,US,1723655987
272,georgetown,5.4112,100.3354,27.96,78,20,1.03,MY,1723655989
273,termoli,41.9888,14.9895,32.66,52,5,0.59,IT,1723655990
274,leava,-14.3,-178.1667,24.46,72,100,11.35,WF,1723655992
